"Favorite Type","Item Reference","Item Description","Last Modified",Preference
Artist,1620160561,Jimin,2024-01-04T20:58:13Z,LIKE
Artist,1191850724,JIN,2022-10-28T19:30:56.774Z,LIKE
Artist,883131348,BTS,2022-10-20T09:58:44.416Z,LIKE
Artist,80159541,SUGA,2022-10-20T09:58:38.649Z,LIKE
Artist,1439549457,RM,2022-10-20T09:58:18.646Z,LIKE
Artist,1354883995,j-hope,2022-10-20T09:58:14.098Z,LIKE
Artist,1633387333,"Agust D",2022-10-20T09:58:11.018Z,LIKE
Artist,1191852113,V,2022-10-20T09:57:58.401Z,LIKE
Song,1719013258,"NCT 127 - Be There For Me",2024-09-09T05:40:33Z,NEUTRAL
Song,1567969978,"BTS - Butter",2024-06-07T17:15:16Z,LIKE
Song,1709554997,"Jung Kook - Standing Next to You",2024-01-24T18:02:27Z,LIKE
Song,1697147758,"Jung Kook & Latto - Seven",2023-12-03T11:13:19Z,LIKE
Song,1467870870,"Sorrow - Je suis caisson",2023-05-14T22:55:09Z,LIKE
Song,1676947242,"Jimin - Interlude : Dive",2023-04-05T23:54:13.413Z,LIKE
Song,1654548650,"RM - Closer (with Paul Blanco & Mahalia)",2022-12-05T00:41:48Z,LIKE
Song,1654548363,"RM - All Day (with TABLO)",2022-12-05T00:41:01Z,LIKE
Song,1458938386,"BTS - HOME",2021-08-23T23:33:45Z,LIKE
Song,1599172227,"BTS - HOME",2021-08-23T23:33:45Z,LIKE
Song,1540648176,"BTS - Blue & Grey",2021-08-16T20:26:36Z,LIKE
Song,1596532204,"BTS - Blue & Grey",2021-08-16T20:26:35Z,LIKE
Song,1527793042,"BTS - Dynamite",2020-09-24T20:38:51.256Z,LIKE
Song,1088529836,"Desiigner - Panda",2016-09-20T00:33:40.580Z,LIKE
Song,1136351237,"Desiigner - Tiimmy Turner",2016-08-19T21:06:36.066Z,LIKE
